iter	Passed	Remaining
985	16949	240
986	16962	223
987	16972	206
988	16984	188
989	16995	171
990	17006	154
991	17017	137
992	17029	120
993	17040	102
994	17049	85
995	17060	68
996	17071	51
997	17081	34
998	17091	17
999	17101	0
